Test Sequence Name,test_sequence,execution_group_number,execution_group_name,Site,Procedure Name,procedure_definition,allow_skip,Reason for Skip
Light Induced Degradation (FS S6B),67,1,Pre Light Soak,BKL,I-V Curve at STC (FS S6B),49,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,2,Light Soak >30 kWh/m²,DAV,Light Soak >30 kWh/m²,16,FALSE,
,,3,Post Light Soak >30 kWh/m²,BKL,I-V Curve at STC (FS S6B),49,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,4,Light Soak >10 kWh/m² #1,DAV,Light Soak >10 kWh/m²,15,FALSE,
,,5,Post Light Soak >10 kWh/m² #1,BKL,I-V Curve at STC (FS S6B),49,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,,,,Visual Inspection,2,FALSE,
,,,,,Wet Leakage Current Test,3,FALSE,
